time_s,z_m,z_cm,T_axis_2d_C,C_axis_2d,T_side_2d_C,C_side_2d,T_end_axis_surface_C,C_end_axis_surface
5400.0000,0.1936,19.3627,47.1376,2.5184,48.0158,1.0513,47.1376,2.5184
5400.0000,0.1985,19.8529,47.1571,2.5184,48.0267,1.0513,47.1571,2.5184
5400.0000,0.2034,20.3431,47.1833,2.5184,48.0413,1.0513,47.1833,2.5184
5400.0000,0.2083,20.8333,47.2179,2.5184,48.0606,1.0513,47.2179,2.5184
5400.0000,0.2132,21.3235,47.2635,2.5184,48.0860,1.0513,47.2635,2.5184
5400.0000,0.2181,21.8137,47.3230,2.5183,48.1191,1.0513,47.3230,2.5183
5400.0000,0.2230,22.3039,47.3998,2.5177,48.1619,1.0511,47.3998,2.5177
5400.0000,0.2279,22.7941,47.4982,2.5145,48.2167,1.0500,47.4982,2.5145
5400.0000,0.2328,23.2843,47.6230,2.4991,48.2864,1.0442,47.6230,2.4991
5400.0000,0.2377,23.7745,47.7796,2.4376,48.3739,1.0188,47.7796,2.4376
5400.0000,0.2426,24.2647,47.9734,2.2367,48.4827,0.9284,47.9734,2.2367
5400.0000,0.2475,24.7549,48.2081,1.6988,48.6147,0.6502,48.3402,1.1684
7200.0000,0.0025,0.2451,49.4854,1.5410,49.6420,0.4999,49.5387,1.0443
7200.0000,0.0074,0.7353,49.3959,2.0942,49.5914,0.7721,49.3959,2.0942
7200.0000,0.0123,1.2255,49.3226,2.3338,49.5502,0.8728,49.3226,2.3338
7200.0000,0.0172,1.7157,49.2634,2.4230,49.5170,0.9073,49.2634,2.4230
7200.0000,0.0221,2.2059,49.2155,2.4508,49.4903,0.9172,49.2155,2.4508
7200.0000,0.0270,2.6961,49.1769,2.4583,49.4688,0.9196,49.1769,2.4583
7200.0000,0.0319,3.1863,49.1458,2.4600,49.4514,0.9201,49.1458,2.4600
7200.0000,0.0368,3.6765,49.1208,2.4603,49.4375,0.9202,49.1208,2.4603
7200.0000,0.0417,4.1667,49.1008,2.4604,49.4264,0.9202,49.1008,2.4604
7200.0000,0.0466,4.6569,49.0850,2.4604,49.4176,0.9202,49.0850,2.4604
7200.0000,0.0515,5.1471,49.0725,2.4604,49.4107,0.9202,49.0725,2.4604
7200.0000,0.0564,5.6373,49.0628,2.4604,49.4052,0.9202,49.0628,2.4604
7200.0000,0.0613,6.1275,49.0552,2.4604,49.4010,0.9202,49.0552,2.4604
7200.0000,0.0662,6.6176,49.0493,2.4604,49.3977,0.9202,49.0493,2.4604
7200.0000,0.0711,7.1078,49.0448,2.4604,49.3952,0.9202,49.0448,2.4604
7200.0000,0.0760,7.5980,49.0414,2.4604,49.3933,0.9202,49.0414,2.4604
7200.0000,0.0809,8.0882,49.0388,2.4604,49.3919,0.9202,49.0388,2.4604
7200.0000,0.0858,8.5784,49.0368,2.4604,49.3908,0.9202,49.0368,2.4604
7200.0000,0.0907,9.0686,49.0354,2.4604,49.3900,0.9202,49.0354,2.4604
7200.0000,0.0956,9.5588,49.0343,2.4604,49.3894,0.9202,49.0343,2.4604
7200.0000,0.1005,10.0490,49.0335,2.4604,49.3889,0.9202,49.0335,2.4604
7200.0000,0.1054,10.5392,49.0329,2.4604,49.3886,0.9202,49.0329,2.4604
7200.0000,0.1103,11.0294,49.0326,2.4604,49.3884,0.9202,49.0326,2.4604
7200.0000,0.1152,11.5196,49.0323,2.4604,49.3882,0.9202,49.0323,2.4604
7200.0000,0.1201,12.0098,49.0322,2.4604,49.3882,0.9202,49.0322,2.4604
7200.0000,0.1250,12.5000,49.0321,2.4604,49.3881,0.9202,49.0321,2.4604
7200.0000,0.1299,12.9902,49.0322,2.4604,49.3882,0.9202,49.0322,2.4604
7200.0000,0.1348,13.4804,49.0323,2.4604,49.3882,0.9202,49.0323,2.4604
7200.0000,0.1397,13.9706,49.0326,2.4604,49.3884,0.9202,49.0326,2.4604
7200.0000,0.1446,14.4608,49.0329,2.4604,49.3886,0.9202,49.0329,2.4604
7200.0000,0.1495,14.9510,49.0335,2.4604,49.3889,0.9202,49.0335,2.4604
7200.0000,0.1544,15.4412,49.0343,2.4604,49.3894,0.9202,49.0343,2.4604
7200.0000,0.1593,15.9314,49.0354,2.4604,49.3900,0.9202,49.0354,2.4604
7200.0000,0.1642,16.4216,49.0368,2.4604,49.3908,0.9202,49.0368,2.4604
7200.0000,0.1691,16.9118,49.0388,2.4604,49.3919,0.9202,49.0388,2.4604
7200.0000,0.1740,17.4020,49.0414,2.4604,49.3933,0.9202,49.0414,2.4604
7200.0000,0.1789,17.8922,49.0448,2.4604,49.3952,0.9202,49.0448,2.4604
7200.0000,0.1838,18.3824,49.0493,2.4604,49.3977,0.9202,49.0493,2.4604
7200.0000,0.1887,18.8725,49.0552,2.4604,49.4010,0.9202,49.0552,2.4604
7200.0000,0.1936,19.3627,49.0628,2.4604,49.4052,0.9202,49.0628,2.4604
7200.0000,0.1985,19.8529,49.0725,2.4604,49.4107,0.9202,49.0725,2.4604
7200.0000,0.2034,20.3431,49.0850,2.4604,49.4176,0.9202,49.0850,2.4604
7200.0000,0.2083,20.8333,49.1008,2.4604,49.4264,0.9202,49.1008,2.4604
7200.0000,0.2132,21.3235,49.1208,2.4603,49.4375,0.9202,49.1208,2.4603
7200.0000,0.2181,21.8137,49.1458,2.4600,49.4514,0.9201,49.1458,2.4600
7200.0000,0.2230,22.3039,49.1769,2.4583,49.4688,0.9196,49.1769,2.4583
7200.0000,0.2279,22.7941,49.2155,2.4508,49.4903,0.9172,49.2155,2.4508
7200.0000,0.2328,23.2843,49.2634,2.4230,49.5170,0.9073,49.2634,2.4230
7200.0000,0.2377,23.7745,49.3226,2.3338,49.5502,0.8728,49.3226,2.3338
7200.0000,0.2426,24.2647,49.3959,2.0942,49.5914,0.7721,49.3959,2.0942
7200.0000,0.2475,24.7549,49.4854,1.5410,49.6420,0.4999,49.5387,1.0443
9000.0000,0.0025,0.2451,49.8390,1.4038,49.9068,0.3920,49.8861,0.9359
9000.0000,0.0074,0.7353,49.8076,1.9516,49.8865,0.6532,49.8076,1.9516
9000.0000,0.0123,1.2255,49.7871,2.2113,49.8748,0.7576,49.7871,2.2113
9000.0000,0.0172,1.7157,49.7696,2.3213,49.8651,0.7985,49.7696,2.3213
9000.0000,0.0221,2.2059,49.7544,2.3614,49.8566,0.8123,49.7544,2.3614
9000.0000,0.0270,2.6961,49.7415,2.3741,49.8495,0.8163,49.7415,2.3741
9000.0000,0.0319,3.1863,49.7308,2.3775,49.8435,0.8173,49.7308,2.3775
9000.0000,0.0368,3.6765,49.7220,2.3784,49.8386,0.8175,49.7220,2.3784
9000.0000,0.0417,4.1667,49.7149,2.3786,49.8346,0.8176,49.7149,2.3786
9000.0000,0.0466,4.6569,49.7090,2.3786,49.8314,0.8176,49.7090,2.3786
9000.0000,0.0515,5.1471,49.7043,2.3786,49.8287,0.8176,49.7043,2.3786
9000.0000,0.0564,5.6373,49.7004,2.3786,49.8266,0.8176,49.7004,2.3786
9000.0000,0.0613,6.1275,49.6973,2.3786,49.8249,0.8176,49.6973,2.3786
9000.0000,0.0662,6.6176,49.6948,2.3786,49.8235,0.8176,49.6948,2.3786
9000.0000,0.0711,7.1078,49.6929,2.3786,49.8224,0.8176,49.6929,2.3786
9000.0000,0.0760,7.5980,49.6913,2.3786,49.8215,0.8176,49.6913,2.3786
9000.0000,0.0809,8.0882,49.6901,2.3786,49.8208,0.8176,49.6901,2.3786
9000.0000,0.0858,8.5784,49.6891,2.3786,49.8203,0.8176,49.6891,2.3786
9000.0000,0.0907,9.0686,49.6884,2.3786,49.8199,0.8176,49.6884,2.3786
9000.0000,0.0956,9.5588,49.6878,2.3786,49.8196,0.8176,49.6878,2.3786
9000.0000,0.1005,10.0490,49.6874,2.3786,49.8193,0.8176,49.6874,2.3786
9000.0000,0.1054,10.5392,49.6870,2.3786,49.8191,0.8176,49.6870,2.3786
9000.0000,0.1103,11.0294,49.6868,2.3786,49.8190,0.8176,49.6868,2.3786
9000.0000,0.1152,11.5196,49.6866,2.3786,49.8189,0.8176,49.6866,2.3786
9000.0000,0.1201,12.0098,49.6866,2.3786,49.8189,0.8176,49.6866,2.3786
9000.0000,0.1250,12.5000,49.6865,2.3786,49.8189,0.8176,49.6865,2.3786
9000.0000,0.1299,12.9902,49.6866,2.3786,49.8189,0.8176,49.6866,2.3786
9000.0000,0.1348,13.4804,49.6866,2.3786,49.8189,0.8176,49.6866,2.3786
9000.0000,0.1397,13.9706,49.6868,2.3786,49.8190,0.8176,49.6868,2.3786
9000.0000,0.1446,14.4608,49.6870,2.3786,49.8191,0.8176,49.6870,2.3786
9000.0000,0.1495,14.9510,49.6874,2.3786,49.8193,0.8176,49.6874,2.3786
9000.0000,0.1544,15.4412,49.6878,2.3786,49.8196,0.8176,49.6878,2.3786
9000.0000,0.1593,15.9314,49.6884,2.3786,49.8199,0.8176,49.6884,2.3786
9000.0000,0.1642,16.4216,49.6891,2.3786,49.8203,0.8176,49.6891,2.3786
9000.0000,0.1691,16.9118,49.6901,2.3786,49.8208,0.8176,49.6901,2.3786
9000.0000,0.1740,17.4020,49.6913,2.3786,49.8215,0.8176,49.6913,2.3786
9000.0000,0.1789,17.8922,49.6929,2.3786,49.8224,0.8176,49.6929,2.3786
9000.0000,0.1838,18.3824,49.6948,2.3786,49.8235,0.8176,49.6948,2.3786
9000.0000,0.1887,18.8725,49.6973,2.3786,49.8249,0.8176,49.6973,2.3786
9000.0000,0.1936,19.3627,49.7004,2.3786,49.8266,0.8176,49.7004,2.3786
9000.0000,0.1985,19.8529,49.7043,2.3786,49.8287,0.8176,49.7043,2.3786
